Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
09;052;052;022;052022;Poggibonsi;Poggibonsi;;3;Centro;Toscana;Siena;1;0;SI;52022;52022;52022;52022;G752;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;023;052023;Radda in Chianti;Radda in Chianti;;3;Centro;Toscana;Siena;1;0;SI;52023;52023;52023;52023;H153;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;024;052024;Radicofani;Radicofani;;3;Centro;Toscana;Siena;1;0;SI;52024;52024;52024;52024;H156;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;025;052025;Radicondoli;Radicondoli;;3;Centro;Toscana;Siena;1;0;SI;52025;52025;52025;52025;H157;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;026;052026;Rapolano Terme;Rapolano Terme;;3;Centro;Toscana;Siena;1;0;SI;52026;52026;52026;52026;H185;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;027;052027;San Casciano dei Bagni;San Casciano dei Bagni;;3;Centro;Toscana;Siena;1;0;SI;52027;52027;52027;52027;H790;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;028;052028;San Gimignano;San Gimignano;;3;Centro;Toscana;Siena;1;0;SI;52028;52028;52028;52028;H875;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;030;052030;San Quirico d'Orcia;San Quirico d'Orcia;;3;Centro;Toscana;Siena;1;0;SI;52030;52030;52030;52030;I135;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;031;052031;Sarteano;Sarteano;;3;Centro;Toscana;Siena;1;0;SI;52031;52031;52031;52031;I445;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;032;052032;Siena;Siena;;3;Centro;Toscana;Siena;1;1;SI;52032;52032;52032;52032;I726;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;033;052033;Sinalunga;Sinalunga;;3;Centro;Toscana;Siena;1;0;SI;52033;52033;52033;52033;A468;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;034;052034;Sovicille;Sovicille;;3;Centro;Toscana;Siena;1;0;SI;52034;52034;52034;52034;I877;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;035;052035;Torrita di Siena;Torrita di Siena;;3;Centro;Toscana;Siena;1;0;SI;52035;52035;52035;52035;L303;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;036;052036;Trequanda;Trequanda;;3;Centro;Toscana;Siena;1;0;SI;52036;52036;52036;52036;L384;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;052;052;037;052037;Montalcino;Montalcino;;3;Centro;Toscana;Siena;1;0;SI;52037;52037;52037;52037;M378;ITI;ITI1;ITI19;ITI;ITI1;ITI19
09;053;053;001;053001;Arcidosso;Arcidosso;;3;Centro;Toscana;Grosseto;1;0;GR;53001;53001;53001;53001;A369;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;002;053002;Campagnatico;Campagnatico;;3;Centro;Toscana;Grosseto;1;0;GR;53002;53002;53002;53002;B497;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;003;053003;Capalbio;Capalbio;;3;Centro;Toscana;Grosseto;1;0;GR;53003;53003;53003;53003;B646;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;004;053004;Castel del Piano;Castel del Piano;;3;Centro;Toscana;Grosseto;1;0;GR;53004;53004;53004;53004;C085;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;005;053005;Castell'Azzara;Castell'Azzara;;3;Centro;Toscana;Grosseto;1;0;GR;53005;53005;53005;53005;C147;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;006;053006;Castiglione della Pescaia;Castiglione della Pescaia;;3;Centro;Toscana;Grosseto;1;0;GR;53006;53006;53006;53006;C310;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;007;053007;Cinigiano;Cinigiano;;3;Centro;Toscana;Grosseto;1;0;GR;53007;53007;53007;53007;C705;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;008;053008;Civitella Paganico;Civitella Paganico;;3;Centro;Toscana;Grosseto;1;0;GR;53008;53008;53008;53008;C782;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;009;053009;Follonica;Follonica;;3;Centro;Toscana;Grosseto;1;0;GR;53009;53009;53009;53009;D656;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;010;053010;Gavorrano;Gavorrano;;3;Centro;Toscana;Grosseto;1;0;GR;53010;53010;53010;53010;D948;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;011;053011;Grosseto;Grosseto;;3;Centro;Toscana;Grosseto;1;1;GR;53011;53011;53011;53011;E202;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;012;053012;Isola del Giglio;Isola del Giglio;;3;Centro;Toscana;Grosseto;1;0;GR;53012;53012;53012;53012;E348;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;013;053013;Magliano in Toscana;Magliano in Toscana;;3;Centro;Toscana;Grosseto;1;0;GR;53013;53013;53013;53013;E810;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;014;053014;Manciano;Manciano;;3;Centro;Toscana;Grosseto;1;0;GR;53014;53014;53014;53014;E875;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;015;053015;Massa Marittima;Massa Marittima;;3;Centro;Toscana;Grosseto;1;0;GR;53015;53015;53015;53015;F032;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;016;053016;Monte Argentario;Monte Argentario;;3;Centro;Toscana;Grosseto;1;0;GR;53016;53016;53016;53016;F437;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;017;053017;Montieri;Montieri;;3;Centro;Toscana;Grosseto;1;0;GR;53017;53017;53017;53017;F677;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;018;053018;Orbetello;Orbetello;;3;Centro;Toscana;Grosseto;1;0;GR;53018;53018;53018;53018;G088;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
09;053;053;019;053019;Pitigliano;Pitigliano;;3;Centro;Toscana;Grosseto;1;0;GR;53019;53019;53019;53019;G716;ITI;ITI1;ITI1A;ITI;ITI1;ITI1A
