Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
18;280;080;047;080047;Martone;Martone;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80047;80047;80047;80047;E993;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;048;080048;Melicuccà;Melicuccà;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80048;80048;80048;80048;F105;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;049;080049;Melicucco;Melicucco;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80049;80049;80049;80049;F106;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;050;080050;Melito di Porto Salvo;Melito di Porto Salvo;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80050;80050;80050;80050;F112;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;051;080051;Molochio;Molochio;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80051;80051;80051;80051;F301;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;052;080052;Monasterace;Monasterace;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80052;80052;80052;80052;F324;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;053;080053;Montebello Jonico;Montebello Jonico;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80053;80053;80053;80053;D746;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;054;080054;Motta San Giovanni;Motta San Giovanni;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80054;80054;80054;80054;F779;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;055;080055;Oppido Mamertina;Oppido Mamertina;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80055;80055;80055;80055;G082;ITF;ITF6;ITF65;ITF;ITF6;ITF65
18;280;080;056;080056;Palizzi;Palizzi;;4;Sud;Calabria;Reggio Calabria;3;0;RC;80056;80056;80056;80056;G277;ITF;ITF6;ITF65;ITF;ITF6;ITF65
