Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
07;210;010;053;010053;San Colombano Certenoli;San Colombano Certenoli;;1;Nord-ovest;Liguria;Genova;3;0;GE;10053;10053;10053;10053;H802;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;054;010054;Santa Margherita Ligure;Santa Margherita Ligure;;1;Nord-ovest;Liguria;Genova;3;0;GE;10054;10054;10054;10054;I225;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;055;010055;Sant'Olcese;Sant'Olcese;;1;Nord-ovest;Liguria;Genova;3;0;GE;10055;10055;10055;10055;I346;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;056;010056;Santo Stefano d'Aveto;Santo Stefano d'Aveto;;1;Nord-ovest;Liguria;Genova;3;0;GE;10056;10056;10056;10056;I368;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;057;010057;Savignone;Savignone;;1;Nord-ovest;Liguria;Genova;3;0;GE;10057;10057;10057;10057;I475;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;058;010058;Serra Riccò;Serra Riccò;;1;Nord-ovest;Liguria;Genova;3;0;GE;10058;10058;10058;10058;I640;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;059;010059;Sestri Levante;Sestri Levante;;1;Nord-ovest;Liguria;Genova;3;0;GE;10059;10059;10059;10059;I693;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;060;010060;Sori;Sori;;1;Nord-ovest;Liguria;Genova;3;0;GE;10060;10060;10060;10060;I852;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;061;010061;Tiglieto;Tiglieto;;1;Nord-ovest;Liguria;Genova;3;0;GE;10061;10061;10061;10061;L167;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;062;010062;Torriglia;Torriglia;;1;Nord-ovest;Liguria;Genova;3;0;GE;10062;10062;10062;10062;L298;ITC;ITC3;ITC33;ITC;ITC3;ITC33
07;210;010;063;010063;Tribogna;Tribogna;;1;Nord-ovest;Liguria;Genova;3;0;GE;10063;10063;10063;10063;L416;ITC;ITC3;ITC33;ITC;ITC3;ITC33
