Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
06;030;030;003;030003;Ampezzo;Ampezzo;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30003;30003;30003;30003;A267;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;004;030004;Aquileia;Aquileia;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30004;30004;30004;30004;A346;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;005;030005;Arta Terme;Arta Terme;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30005;30005;30005;30005;A447;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;006;030006;Artegna;Artegna;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30006;30006;30006;30006;A448;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;007;030007;Attimis;Attimis;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30007;30007;30007;30007;A491;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;008;030008;Bagnaria Arsa;Bagnaria Arsa;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30008;30008;30008;30008;A553;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;009;030009;Basiliano;Basiliano;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30009;30009;30009;30009;A700;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;010;030010;Bertiolo;Bertiolo;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30010;30010;30010;30010;A810;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;011;030011;Bicinicco;Bicinicco;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30011;30011;30011;30011;A855;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;012;030012;Bordano;Bordano;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30012;30012;30012;30012;A983;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;013;030013;Buja;Buja;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30013;30013;30013;30013;B259;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;014;030014;Buttrio;Buttrio;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30014;30014;30014;30014;B309;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;015;030015;Camino al Tagliamento;Camino al Tagliamento;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30015;30015;30015;30015;B483;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;016;030016;Campoformido;Campoformido;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30016;30016;30016;30016;B536;ITH;ITH4;ITH42;ITH;ITH4;ITH42
06;030;030;018;030018;Carlino;Carlino;;2;Nord-est;Friuli-Venezia Giulia;Udine;5;0;UD;30018;30018;30018;30018;B788;ITH;ITH4;ITH42;ITH;ITH4;ITH42
