Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
05;026;026;094;026094;Zenson di Piave;Zenson di Piave;;2;Nord-est;Veneto;Treviso;1;0;TV;26094;26094;26094;26094;M163;ITH;ITH3;ITH34;ITH;ITH3;ITH34
05;026;026;095;026095;Zero Branco;Zero Branco;;2;Nord-est;Veneto;Treviso;1;0;TV;26095;26095;26095;26095;M171;ITH;ITH3;ITH34;ITH;ITH3;ITH34
05;026;026;096;026096;Pieve del Grappa;Pieve del Grappa;;2;Nord-est;Veneto;Treviso;1;0;TV;26096;26096;26096;26096;M422;ITH;ITH3;ITH34;ITH;ITH3;ITH34
05;227;027;001;027001;Annone Veneto;Annone Veneto;;2;Nord-est;Veneto;Venezia;3;0;VE;27001;27001;27001;27001;A302;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;002;027002;Campagna Lupia;Campagna Lupia;;2;Nord-est;Veneto;Venezia;3;0;VE;27002;27002;27002;27002;B493;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;003;027003;Campolongo Maggiore;Campolongo Maggiore;;2;Nord-est;Veneto;Venezia;3;0;VE;27003;27003;27003;27003;B546;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;004;027004;Camponogara;Camponogara;;2;Nord-est;Veneto;Venezia;3;0;VE;27004;27004;27004;27004;B554;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;005;027005;Caorle;Caorle;;2;Nord-est;Veneto;Venezia;3;0;VE;27005;27005;27005;27005;B642;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;006;027006;Cavarzere;Cavarzere;;2;Nord-est;Veneto;Venezia;3;0;VE;27006;27006;27006;27006;C383;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;007;027007;Ceggia;Ceggia;;2;Nord-est;Veneto;Venezia;3;0;VE;27007;27007;27007;27007;C422;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;008;027008;Chioggia;Chioggia;;2;Nord-est;Veneto;Venezia;3;0;VE;27008;27008;27008;27008;C638;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;009;027009;Cinto Caomaggiore;Cinto Caomaggiore;;2;Nord-est;Veneto;Venezia;3;0;VE;27009;27009;27009;27009;C714;ITH;ITH3;ITH35;ITH;ITH3;ITH35
05;227;027;010;027010;Cona;Cona;;2;Nord-est;Veneto;Venezia;3;0;VE;27010;27010;27010;27010;C938;ITH;ITH3;ITH35;ITH;ITH3;ITH35
