Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
16;272;072;004;072004;Altamura;Altamura;;4;Sud;Puglia;Bari;3;0;BA;72004;72004;72004;72004;A225;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;006;072006;Bari;Bari;;4;Sud;Puglia;Bari;3;1;BA;72006;72006;72006;72006;A662;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;008;072008;Binetto;Binetto;;4;Sud;Puglia;Bari;3;0;BA;72008;72008;72008;72008;A874;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;010;072010;Bitetto;Bitetto;;4;Sud;Puglia;Bari;3;0;BA;72010;72010;72010;72010;A892;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;011;072011;Bitonto;Bitonto;;4;Sud;Puglia;Bari;3;0;BA;72011;72011;72011;72011;A893;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;012;072012;Bitritto;Bitritto;;4;Sud;Puglia;Bari;3;0;BA;72012;72012;72012;72012;A894;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;014;072014;Capurso;Capurso;;4;Sud;Puglia;Bari;3;0;BA;72014;72014;72014;72014;B716;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;015;072015;Casamassima;Casamassima;;4;Sud;Puglia;Bari;3;0;BA;72015;72015;72015;72015;B923;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;016;072016;Cassano delle Murge;Cassano delle Murge;;4;Sud;Puglia;Bari;3;0;BA;72016;72016;72016;72016;B998;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;017;072017;Castellana Grotte;Castellana Grotte;;4;Sud;Puglia;Bari;3;0;BA;72017;72017;72017;72017;C134;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;018;072018;Cellamare;Cellamare;;4;Sud;Puglia;Bari;3;0;BA;72018;72018;72018;72018;C436;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;019;072019;Conversano;Conversano;;4;Sud;Puglia;Bari;3;0;BA;72019;72019;72019;72019;C975;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;020;072020;Corato;Corato;;4;Sud;Puglia;Bari;3;0;BA;72020;72020;72020;72020;C983;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;021;072021;Gioia del Colle;Gioia del Colle;;4;Sud;Puglia;Bari;3;0;BA;72021;72021;72021;72021;E038;ITF;ITF4;ITF47;ITF;ITF4;ITF47
16;272;072;022;072022;Giovinazzo;Giovinazzo;;4;Sud;Puglia;Bari;3;0;BA;72022;72022;72022;72022;E047;ITF;ITF4;ITF47;ITF;ITF4;ITF47
