Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
18;078;078;079;078079;Mendicino;Mendicino;;4;Sud;Calabria;Cosenza;1;0;CS;78079;78079;78079;78079;F125;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;080;078080;Mongrassano;Mongrassano;;4;Sud;Calabria;Cosenza;1;0;CS;78080;78080;78080;78080;F370;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;081;078081;Montalto Uffugo;Montalto Uffugo;;4;Sud;Calabria;Cosenza;1;0;CS;78081;78081;78081;78081;F416;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;082;078082;Montegiordano;Montegiordano;;4;Sud;Calabria;Cosenza;1;0;CS;78082;78082;78082;78082;F519;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;083;078083;Morano Calabro;Morano Calabro;;4;Sud;Calabria;Cosenza;1;0;CS;78083;78083;78083;78083;F708;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;084;078084;Mormanno;Mormanno;;4;Sud;Calabria;Cosenza;1;0;CS;78084;78084;78084;78084;F735;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;085;078085;Mottafollone;Mottafollone;;4;Sud;Calabria;Cosenza;1;0;CS;78085;78085;78085;78085;F775;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;086;078086;Nocara;Nocara;;4;Sud;Calabria;Cosenza;1;0;CS;78086;78086;78086;78086;F907;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;087;078087;Oriolo;Oriolo;;4;Sud;Calabria;Cosenza;1;0;CS;78087;78087;78087;78087;G110;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;088;078088;Orsomarso;Orsomarso;;4;Sud;Calabria;Cosenza;1;0;CS;78088;78088;78088;78088;G129;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;089;078089;Paludi;Paludi;;4;Sud;Calabria;Cosenza;1;0;CS;78089;78089;78089;78089;G298;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;090;078090;Panettieri;Panettieri;;4;Sud;Calabria;Cosenza;1;0;CS;78090;78090;78090;78090;G307;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;091;078091;Paola;Paola;;4;Sud;Calabria;Cosenza;1;0;CS;78091;78091;78091;78091;G317;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;092;078092;Papasidero;Papasidero;;4;Sud;Calabria;Cosenza;1;0;CS;78092;78092;78092;78092;G320;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;093;078093;Parenti;Parenti;;4;Sud;Calabria;Cosenza;1;0;CS;78093;78093;78093;78093;G331;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;094;078094;Paterno Calabro;Paterno Calabro;;4;Sud;Calabria;Cosenza;1;0;CS;78094;78094;78094;78094;G372;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;096;078096;Pedivigliano;Pedivigliano;;4;Sud;Calabria;Cosenza;1;0;CS;78096;78096;78096;78096;G411;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;097;078097;Piane Crati;Piane Crati;;4;Sud;Calabria;Cosenza;1;0;CS;78097;78097;78097;78097;G553;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;098;078098;Pietrafitta;Pietrafitta;;4;Sud;Calabria;Cosenza;1;0;CS;78098;78098;78098;78098;G615;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;099;078099;Pietrapaola;Pietrapaola;;4;Sud;Calabria;Cosenza;1;0;CS;78099;78099;78099;78099;G622;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;100;078100;Plataci;Plataci;;4;Sud;Calabria;Cosenza;1;0;CS;78100;78100;78100;78100;G733;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;101;078101;Praia a Mare;Praia a Mare;;4;Sud;Calabria;Cosenza;1;0;CS;78101;78101;78101;78101;G975;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;102;078102;Rende;Rende;;4;Sud;Calabria;Cosenza;1;0;CS;78102;78102;78102;78102;H235;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;103;078103;Rocca Imperiale;Rocca Imperiale;;4;Sud;Calabria;Cosenza;1;0;CS;78103;78103;78103;78103;H416;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;104;078104;Roggiano Gravina;Roggiano Gravina;;4;Sud;Calabria;Cosenza;1;0;CS;78104;78104;78104;78104;H488;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;105;078105;Rogliano;Rogliano;;4;Sud;Calabria;Cosenza;1;0;CS;78105;78105;78105;78105;H490;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;106;078106;Rose;Rose;;4;Sud;Calabria;Cosenza;1;0;CS;78106;78106;78106;78106;H565;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;107;078107;Roseto Capo Spulico;Roseto Capo Spulico;;4;Sud;Calabria;Cosenza;1;0;CS;78107;78107;78107;78107;H572;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;109;078109;Rota Greca;Rota Greca;;4;Sud;Calabria;Cosenza;1;0;CS;78109;78109;78109;78109;H585;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;110;078110;Rovito;Rovito;;4;Sud;Calabria;Cosenza;1;0;CS;78110;78110;78110;78110;H621;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;111;078111;San Basile;San Basile;;4;Sud;Calabria;Cosenza;1;0;CS;78111;78111;78111;78111;H765;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;112;078112;San Benedetto Ullano;San Benedetto Ullano;;4;Sud;Calabria;Cosenza;1;0;CS;78112;78112;78112;78112;H774;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;113;078113;San Cosmo Albanese;San Cosmo Albanese;;4;Sud;Calabria;Cosenza;1;0;CS;78113;78113;78113;78113;H806;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;114;078114;San Demetrio Corone;San Demetrio Corone;;4;Sud;Calabria;Cosenza;1;0;CS;78114;78114;78114;78114;H818;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;115;078115;San Donato di Ninea;San Donato di Ninea;;4;Sud;Calabria;Cosenza;1;0;CS;78115;78115;78115;78115;H825;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;116;078116;San Fili;San Fili;;4;Sud;Calabria;Cosenza;1;0;CS;78116;78116;78116;78116;H841;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;117;078117;Sangineto;Sangineto;;4;Sud;Calabria;Cosenza;1;0;CS;78117;78117;78117;78117;H877;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;118;078118;San Giorgio Albanese;San Giorgio Albanese;;4;Sud;Calabria;Cosenza;1;0;CS;78118;78118;78118;78118;H881;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;119;078119;San Giovanni in Fiore;San Giovanni in Fiore;;4;Sud;Calabria;Cosenza;1;0;CS;78119;78119;78119;78119;H919;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;120;078120;San Lorenzo Bellizzi;San Lorenzo Bellizzi;;4;Sud;Calabria;Cosenza;1;0;CS;78120;78120;78120;78120;H961;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;121;078121;San Lorenzo del Vallo;San Lorenzo del Vallo;;4;Sud;Calabria;Cosenza;1;0;CS;78121;78121;78121;78121;H962;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;122;078122;San Lucido;San Lucido;;4;Sud;Calabria;Cosenza;1;0;CS;78122;78122;78122;78122;H971;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;123;078123;San Marco Argentano;San Marco Argentano;;4;Sud;Calabria;Cosenza;1;0;CS;78123;78123;78123;78123;H981;ITF;ITF6;ITF61;ITF;ITF6;ITF61
18;078;078;124;078124;San Martino di Finita;San Martino di Finita;;4;Sud;Calabria;Cosenza;1;0;CS;78124;78124;78124;78124;H992;ITF;ITF6;ITF61;ITF;ITF6;ITF61
