Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
20;111;111;012;111012;Collinas;Collinas;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111012;106003;106003;92014;C882;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;013;111013;Decimoputzu;Decimoputzu;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111013;92016;92016;92016;D260;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;014;111014;Dolianova;Dolianova;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111014;92017;92017;92017;D323;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;015;111015;Domus de Maria;Domus de Maria;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111015;92018;92018;92018;D333;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;016;111016;Domusnovas;Domusnovas;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111016;107005;107005;92019;D334;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;017;111017;Donori;Donori;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111017;92020;92020;92020;D344;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;018;111018;Escalaplano;Escalaplano;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111018;92110;92110;91020;D430;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;019;111019;Escolca;Escolca;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111019;92111;92111;91021;D431;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;020;111020;Esterzili;Esterzili;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111020;92112;92112;91022;D443;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
20;111;111;021;111021;Fluminimaggiore;Fluminimaggiore;;5;Isole;Sardegna;Sud Sardegna;1;0;SU;111021;107006;107006;92021;D639;ITG;ITG2;ITG2H;ITG;ITG2;ITG2H
