Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
09;046;046;007;046007;Capannori;Capannori;;3;Centro;Toscana;Lucca;1;0;LU;46007;46007;46007;46007;B648;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;008;046008;Careggine;Careggine;;3;Centro;Toscana;Lucca;1;0;LU;46008;46008;46008;46008;B760;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;009;046009;Castelnuovo di Garfagnana;Castelnuovo di Garfagnana;;3;Centro;Toscana;Lucca;1;0;LU;46009;46009;46009;46009;C236;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;010;046010;Castiglione di Garfagnana;Castiglione di Garfagnana;;3;Centro;Toscana;Lucca;1;0;LU;46010;46010;46010;46010;C303;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;011;046011;Coreglia Antelminelli;Coreglia Antelminelli;;3;Centro;Toscana;Lucca;1;0;LU;46011;46011;46011;46011;C996;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;013;046013;Forte dei Marmi;Forte dei Marmi;;3;Centro;Toscana;Lucca;1;0;LU;46013;46013;46013;46013;D730;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;014;046014;Fosciandora;Fosciandora;;3;Centro;Toscana;Lucca;1;0;LU;46014;46014;46014;46014;D734;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;015;046015;Gallicano;Gallicano;;3;Centro;Toscana;Lucca;1;0;LU;46015;46015;46015;46015;D874;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;017;046017;Lucca;Lucca;;3;Centro;Toscana;Lucca;1;1;LU;46017;46017;46017;46017;E715;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;018;046018;Massarosa;Massarosa;;3;Centro;Toscana;Lucca;1;0;LU;46018;46018;46018;46018;F035;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;019;046019;Minucciano;Minucciano;;3;Centro;Toscana;Lucca;1;0;LU;46019;46019;46019;46019;F225;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;020;046020;Molazzana;Molazzana;;3;Centro;Toscana;Lucca;1;0;LU;46020;46020;46020;46020;F283;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;021;046021;Montecarlo;Montecarlo;;3;Centro;Toscana;Lucca;1;0;LU;46021;46021;46021;46021;F452;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;022;046022;Pescaglia;Pescaglia;;3;Centro;Toscana;Lucca;1;0;LU;46022;46022;46022;46022;G480;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;023;046023;Piazza al Serchio;Piazza al Serchio;;3;Centro;Toscana;Lucca;1;0;LU;46023;46023;46023;46023;G582;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;024;046024;Pietrasanta;Pietrasanta;;3;Centro;Toscana;Lucca;1;0;LU;46024;46024;46024;46024;G628;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;025;046025;Pieve Fosciana;Pieve Fosciana;;3;Centro;Toscana;Lucca;1;0;LU;46025;46025;46025;46025;G648;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;026;046026;Porcari;Porcari;;3;Centro;Toscana;Lucca;1;0;LU;46026;46026;46026;46026;G882;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;027;046027;San Romano in Garfagnana;San Romano in Garfagnana;;3;Centro;Toscana;Lucca;1;0;LU;46027;46027;46027;46027;I142;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;028;046028;Seravezza;Seravezza;;3;Centro;Toscana;Lucca;1;0;LU;46028;46028;46028;46028;I622;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;030;046030;Stazzema;Stazzema;;3;Centro;Toscana;Lucca;1;0;LU;46030;46030;46030;46030;I942;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;031;046031;Vagli Sotto;Vagli Sotto;;3;Centro;Toscana;Lucca;1;0;LU;46031;46031;46031;46031;L533;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;033;046033;Viareggio;Viareggio;;3;Centro;Toscana;Lucca;1;0;LU;46033;46033;46033;46033;L833;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;034;046034;Villa Basilica;Villa Basilica;;3;Centro;Toscana;Lucca;1;0;LU;46034;46034;46034;46034;L913;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;035;046035;Villa Collemandina;Villa Collemandina;;3;Centro;Toscana;Lucca;1;0;LU;46035;46035;46035;46035;L926;ITI;ITI1;ITI12;ITI;ITI1;ITI12
09;046;046;036;046036;Fabbriche di Vergemoli;Fabbriche di Vergemoli;;3;Centro;Toscana;Lucca;1;0;LU;46036;46036;46036;46036;M319;ITI;ITI1;ITI12;ITI;ITI1;ITI12
