Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
11;042;042;010;042010;Castelfidardo;Castelfidardo;;3;Centro;Marche;Ancona;1;0;AN;42010;42010;42010;42010;C100;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;011;042011;Castelleone di Suasa;Castelleone di Suasa;;3;Centro;Marche;Ancona;1;0;AN;42011;42011;42011;42011;C152;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;012;042012;Castelplanio;Castelplanio;;3;Centro;Marche;Ancona;1;0;AN;42012;42012;42012;42012;C248;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;013;042013;Cerreto d'Esi;Cerreto d'Esi;;3;Centro;Marche;Ancona;1;0;AN;42013;42013;42013;42013;C524;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;014;042014;Chiaravalle;Chiaravalle;;3;Centro;Marche;Ancona;1;0;AN;42014;42014;42014;42014;C615;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;015;042015;Corinaldo;Corinaldo;;3;Centro;Marche;Ancona;1;0;AN;42015;42015;42015;42015;D007;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;016;042016;Cupramontana;Cupramontana;;3;Centro;Marche;Ancona;1;0;AN;42016;42016;42016;42016;D211;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;017;042017;Fabriano;Fabriano;;3;Centro;Marche;Ancona;1;0;AN;42017;42017;42017;42017;D451;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;018;042018;Falconara Marittima;Falconara Marittima;;3;Centro;Marche;Ancona;1;0;AN;42018;42018;42018;42018;D472;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;019;042019;Filottrano;Filottrano;;3;Centro;Marche;Ancona;1;0;AN;42019;42019;42019;42019;D597;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;020;042020;Genga;Genga;;3;Centro;Marche;Ancona;1;0;AN;42020;42020;42020;42020;D965;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;021;042021;Jesi;Jesi;;3;Centro;Marche;Ancona;1;0;AN;42021;42021;42021;42021;E388;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;022;042022;Loreto;Loreto;;3;Centro;Marche;Ancona;1;0;AN;42022;42022;42022;42022;E690;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;023;042023;Maiolati Spontini;Maiolati Spontini;;3;Centro;Marche;Ancona;1;0;AN;42023;42023;42023;42023;E837;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;024;042024;Mergo;Mergo;;3;Centro;Marche;Ancona;1;0;AN;42024;42024;42024;42024;F145;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;025;042025;Monsano;Monsano;;3;Centro;Marche;Ancona;1;0;AN;42025;42025;42025;42025;F381;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;026;042026;Montecarotto;Montecarotto;;3;Centro;Marche;Ancona;1;0;AN;42026;42026;42026;42026;F453;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;027;042027;Montemarciano;Montemarciano;;3;Centro;Marche;Ancona;1;0;AN;42027;42027;42027;42027;F560;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;029;042029;Monte Roberto;Monte Roberto;;3;Centro;Marche;Ancona;1;0;AN;42029;42029;42029;42029;F600;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;030;042030;Monte San Vito;Monte San Vito;;3;Centro;Marche;Ancona;1;0;AN;42030;42030;42030;42030;F634;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;031;042031;Morro d'Alba;Morro d'Alba;;3;Centro;Marche;Ancona;1;0;AN;42031;42031;42031;42031;F745;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;032;042032;Numana;Numana;;3;Centro;Marche;Ancona;1;0;AN;42032;42032;42032;42032;F978;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;033;042033;Offagna;Offagna;;3;Centro;Marche;Ancona;1;0;AN;42033;42033;42033;42033;G003;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;034;042034;Osimo;Osimo;;3;Centro;Marche;Ancona;1;0;AN;42034;42034;42034;42034;G157;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;035;042035;Ostra;Ostra;;3;Centro;Marche;Ancona;1;0;AN;42035;42035;42035;42035;F401;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;036;042036;Ostra Vetere;Ostra Vetere;;3;Centro;Marche;Ancona;1;0;AN;42036;42036;42036;42036;F581;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;037;042037;Poggio San Marcello;Poggio San Marcello;;3;Centro;Marche;Ancona;1;0;AN;42037;42037;42037;42037;G771;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;038;042038;Polverigi;Polverigi;;3;Centro;Marche;Ancona;1;0;AN;42038;42038;42038;42038;G803;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;040;042040;Rosora;Rosora;;3;Centro;Marche;Ancona;1;0;AN;42040;42040;42040;42040;H575;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;041;042041;San Marcello;San Marcello;;3;Centro;Marche;Ancona;1;0;AN;42041;42041;42041;42041;H979;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;042;042042;San Paolo di Jesi;San Paolo di Jesi;;3;Centro;Marche;Ancona;1;0;AN;42042;42042;42042;42042;I071;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;043;042043;Santa Maria Nuova;Santa Maria Nuova;;3;Centro;Marche;Ancona;1;0;AN;42043;42043;42043;42043;I251;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;044;042044;Sassoferrato;Sassoferrato;;3;Centro;Marche;Ancona;1;0;AN;42044;42044;42044;42044;I461;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;045;042045;Senigallia;Senigallia;;3;Centro;Marche;Ancona;1;0;AN;42045;42045;42045;42045;I608;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;046;042046;Serra de' Conti;Serra de' Conti;;3;Centro;Marche;Ancona;1;0;AN;42046;42046;42046;42046;I643;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;047;042047;Serra San Quirico;Serra San Quirico;;3;Centro;Marche;Ancona;1;0;AN;42047;42047;42047;42047;I653;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;048;042048;Sirolo;Sirolo;;3;Centro;Marche;Ancona;1;0;AN;42048;42048;42048;42048;I758;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;049;042049;Staffolo;Staffolo;;3;Centro;Marche;Ancona;1;0;AN;42049;42049;42049;42049;I932;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;042;042;050;042050;Trecastelli;Trecastelli;;3;Centro;Marche;Ancona;1;0;AN;42050;42050;42050;42050;M318;ITI;ITI3;ITI32;ITI;ITI3;ITI32
11;043;043;002;043002;Apiro;Apiro;;3;Centro;Marche;Macerata;1;0;MC;43002;43002;43002;43002;A329;ITI;ITI3;ITI33;ITI;ITI3;ITI33
