Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
13;069;069;055;069055;Monteodorisio;Monteodorisio;;4;Sud;Abruzzo;Chieti;1;0;CH;69055;69055;69055;69055;F582;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;056;069056;Mozzagrogna;Mozzagrogna;;4;Sud;Abruzzo;Chieti;1;0;CH;69056;69056;69056;69056;F785;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;057;069057;Orsogna;Orsogna;;4;Sud;Abruzzo;Chieti;1;0;CH;69057;69057;69057;69057;G128;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;058;069058;Ortona;Ortona;;4;Sud;Abruzzo;Chieti;1;0;CH;69058;69058;69058;69058;G141;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;059;069059;Paglieta;Paglieta;;4;Sud;Abruzzo;Chieti;1;0;CH;69059;69059;69059;69059;G237;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;060;069060;Palena;Palena;;4;Sud;Abruzzo;Chieti;1;0;CH;69060;69060;69060;69060;G271;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;061;069061;Palmoli;Palmoli;;4;Sud;Abruzzo;Chieti;1;0;CH;69061;69061;69061;69061;G290;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;062;069062;Palombaro;Palombaro;;4;Sud;Abruzzo;Chieti;1;0;CH;69062;69062;69062;69062;G294;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;063;069063;Pennadomo;Pennadomo;;4;Sud;Abruzzo;Chieti;1;0;CH;69063;69063;69063;69063;G434;ITF;ITF1;ITF14;ITF;ITF1;ITF14
13;069;069;064;069064;Pennapiedimonte;Pennapiedimonte;;4;Sud;Abruzzo;Chieti;1;0;CH;69064;69064;69064;69064;G435;ITF;ITF1;ITF14;ITF;ITF1;ITF14
