Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
19;282;082;048;082048;Misilmeri;Misilmeri;;5;Isole;Sicilia;Palermo;3;0;PA;82048;82048;82048;82048;F246;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;049;082049;Monreale;Monreale;;5;Isole;Sicilia;Palermo;3;0;PA;82049;82049;82049;82049;F377;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;050;082050;Montelepre;Montelepre;;5;Isole;Sicilia;Palermo;3;0;PA;82050;82050;82050;82050;F544;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;051;082051;Montemaggiore Belsito;Montemaggiore Belsito;;5;Isole;Sicilia;Palermo;3;0;PA;82051;82051;82051;82051;F553;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;052;082052;Palazzo Adriano;Palazzo Adriano;;5;Isole;Sicilia;Palermo;3;0;PA;82052;82052;82052;82052;G263;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;053;082053;Palermo;Palermo;;5;Isole;Sicilia;Palermo;3;1;PA;82053;82053;82053;82053;G273;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;054;082054;Partinico;Partinico;;5;Isole;Sicilia;Palermo;3;0;PA;82054;82054;82054;82054;G348;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;055;082055;Petralia Soprana;Petralia Soprana;;5;Isole;Sicilia;Palermo;3;0;PA;82055;82055;82055;82055;G510;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;056;082056;Petralia Sottana;Petralia Sottana;;5;Isole;Sicilia;Palermo;3;0;PA;82056;82056;82056;82056;G511;ITG;ITG1;ITG12;ITG;ITG1;ITG12
19;282;082;057;082057;Piana degli Albanesi;Piana degli Albanesi;;5;Isole;Sicilia;Palermo;3;0;PA;82057;82057;82057;82057;G543;ITG;ITG1;ITG12;ITG;ITG1;ITG12
