Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
12;258;058;101;058101;Saracinesco;Saracinesco;;3;Centro;Lazio;Roma;3;0;RM;58101;58101;58101;58101;I424;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;102;058102;Segni;Segni;;3;Centro;Lazio;Roma;3;0;RM;58102;58102;58102;58102;I573;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;103;058103;Subiaco;Subiaco;;3;Centro;Lazio;Roma;3;0;RM;58103;58103;58103;58103;I992;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;104;058104;Tivoli;Tivoli;;3;Centro;Lazio;Roma;3;0;RM;58104;58104;58104;58104;L182;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;105;058105;Tolfa;Tolfa;;3;Centro;Lazio;Roma;3;0;RM;58105;58105;58105;58105;L192;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;106;058106;Torrita Tiberina;Torrita Tiberina;;3;Centro;Lazio;Roma;3;0;RM;58106;58106;58106;58106;L302;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;107;058107;Trevignano Romano;Trevignano Romano;;3;Centro;Lazio;Roma;3;0;RM;58107;58107;58107;58107;L401;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;108;058108;Vallepietra;Vallepietra;;3;Centro;Lazio;Roma;3;0;RM;58108;58108;58108;58108;L611;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;109;058109;Vallinfreda;Vallinfreda;;3;Centro;Lazio;Roma;3;0;RM;58109;58109;58109;58109;L625;ITI;ITI4;ITI43;ITI;ITI4;ITI43
12;258;058;110;058110;Valmontone;Valmontone;;3;Centro;Lazio;Roma;3;0;RM;58110;58110;58110;58110;L639;ITI;ITI4;ITI43;ITI;ITI4;ITI43
