Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
06;093;093;040;093040;San Quirino;San Quirino;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93040;93040;93040;93040;I136;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;041;093041;San Vito al Tagliamento;San Vito al Tagliamento;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93041;93041;93041;93041;I403;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;042;093042;Sequals;Sequals;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93042;93042;93042;93042;I621;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;043;093043;Sesto al Reghena;Sesto al Reghena;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93043;93043;93043;93043;I686;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;044;093044;Spilimbergo;Spilimbergo;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93044;93044;93044;93044;I904;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;045;093045;Tramonti di Sopra;Tramonti di Sopra;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93045;93045;93045;93045;L324;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;046;093046;Tramonti di Sotto;Tramonti di Sotto;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93046;93046;93046;93046;L325;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;047;093047;Travesio;Travesio;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93047;93047;93047;93047;L347;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;049;093049;Vito d'Asio;Vito d'Asio;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93049;93049;93049;93049;M085;ITH;ITH4;ITH41;ITH;ITH4;ITH41
06;093;093;050;093050;Vivaro;Vivaro;;2;Nord-est;Friuli-Venezia Giulia;Pordenone;5;0;PN;93050;93050;93050;93050;M096;ITH;ITH4;ITH41;ITH;ITH4;ITH41
