Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
19;085;085;015;085015;Riesi;Riesi;;5;Isole;Sicilia;Caltanissetta;4;0;CL;85015;85015;85015;85015;H281;ITG;ITG1;ITG15;ITG;ITG1;ITG15
19;085;085;016;085016;San Cataldo;San Cataldo;;5;Isole;Sicilia;Caltanissetta;4;0;CL;85016;85016;85016;85016;H792;ITG;ITG1;ITG15;ITG;ITG1;ITG15
19;085;085;017;085017;Santa Caterina Villarmosa;Santa Caterina Villarmosa;;5;Isole;Sicilia;Caltanissetta;4;0;CL;85017;85017;85017;85017;I169;ITG;ITG1;ITG15;ITG;ITG1;ITG15
19;085;085;018;085018;Serradifalco;Serradifalco;;5;Isole;Sicilia;Caltanissetta;4;0;CL;85018;85018;85018;85018;I644;ITG;ITG1;ITG15;ITG;ITG1;ITG15
19;085;085;019;085019;Sommatino;Sommatino;;5;Isole;Sicilia;Caltanissetta;4;0;CL;85019;85019;85019;85019;I824;ITG;ITG1;ITG15;ITG;ITG1;ITG15
19;085;085;020;085020;Sutera;Sutera;;5;Isole;Sicilia;Caltanissetta;4;0;CL;85020;85020;85020;85020;L016;ITG;ITG1;ITG15;ITG;ITG1;ITG15
19;085;085;021;085021;Vallelunga Pratameno;Vallelunga Pratameno;;5;Isole;Sicilia;Caltanissetta;4;0;CL;85021;85021;85021;85021;L609;ITG;ITG1;ITG15;ITG;ITG1;ITG15
19;085;085;022;085022;Villalba;Villalba;;5;Isole;Sicilia;Caltanissetta;4;0;CL;85022;85022;85022;85022;L959;ITG;ITG1;ITG15;ITG;ITG1;ITG15
19;086;086;001;086001;Agira;Agira;;5;Isole;Sicilia;Enna;4;0;EN;86001;86001;86001;86001;A070;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;002;086002;Aidone;Aidone;;5;Isole;Sicilia;Enna;4;0;EN;86002;86002;86002;86002;A098;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;003;086003;Assoro;Assoro;;5;Isole;Sicilia;Enna;4;0;EN;86003;86003;86003;86003;A478;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;004;086004;Barrafranca;Barrafranca;;5;Isole;Sicilia;Enna;4;0;EN;86004;86004;86004;86004;A676;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;005;086005;Calascibetta;Calascibetta;;5;Isole;Sicilia;Enna;4;0;EN;86005;86005;86005;86005;B381;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;006;086006;Catenanuova;Catenanuova;;5;Isole;Sicilia;Enna;4;0;EN;86006;86006;86006;86006;C353;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;007;086007;Centuripe;Centuripe;;5;Isole;Sicilia;Enna;4;0;EN;86007;86007;86007;86007;C471;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;008;086008;Cerami;Cerami;;5;Isole;Sicilia;Enna;4;0;EN;86008;86008;86008;86008;C480;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;009;086009;Enna;Enna;;5;Isole;Sicilia;Enna;4;1;EN;86009;86009;86009;86009;C342;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;010;086010;Gagliano Castelferrato;Gagliano Castelferrato;;5;Isole;Sicilia;Enna;4;0;EN;86010;86010;86010;86010;D849;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;011;086011;Leonforte;Leonforte;;5;Isole;Sicilia;Enna;4;0;EN;86011;86011;86011;86011;E536;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;012;086012;Nicosia;Nicosia;;5;Isole;Sicilia;Enna;4;0;EN;86012;86012;86012;86012;F892;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;013;086013;Nissoria;Nissoria;;5;Isole;Sicilia;Enna;4;0;EN;86013;86013;86013;86013;F900;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;014;086014;Piazza Armerina;Piazza Armerina;;5;Isole;Sicilia;Enna;4;0;EN;86014;86014;86014;86014;G580;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;015;086015;Pietraperzia;Pietraperzia;;5;Isole;Sicilia;Enna;4;0;EN;86015;86015;86015;86015;G624;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;016;086016;Regalbuto;Regalbuto;;5;Isole;Sicilia;Enna;4;0;EN;86016;86016;86016;86016;H221;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;017;086017;Sperlinga;Sperlinga;;5;Isole;Sicilia;Enna;4;0;EN;86017;86017;86017;86017;I891;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;018;086018;Troina;Troina;;5;Isole;Sicilia;Enna;4;0;EN;86018;86018;86018;86018;L448;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;019;086019;Valguarnera Caropepe;Valguarnera Caropepe;;5;Isole;Sicilia;Enna;4;0;EN;86019;86019;86019;86019;L583;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;086;086;020;086020;Villarosa;Villarosa;;5;Isole;Sicilia;Enna;4;0;EN;86020;86020;86020;86020;M011;ITG;ITG1;ITG16;ITG;ITG1;ITG16
19;287;087;001;087001;Aci Bonaccorsi;Aci Bonaccorsi;;5;Isole;Sicilia;Catania;3;0;CT;87001;87001;87001;87001;A025;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;002;087002;Aci Castello;Aci Castello;;5;Isole;Sicilia;Catania;3;0;CT;87002;87002;87002;87002;A026;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;003;087003;Aci Catena;Aci Catena;;5;Isole;Sicilia;Catania;3;0;CT;87003;87003;87003;87003;A027;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;004;087004;Acireale;Acireale;;5;Isole;Sicilia;Catania;3;0;CT;87004;87004;87004;87004;A028;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;005;087005;Aci Sant'Antonio;Aci Sant'Antonio;;5;Isole;Sicilia;Catania;3;0;CT;87005;87005;87005;87005;A029;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;006;087006;Adrano;Adrano;;5;Isole;Sicilia;Catania;3;0;CT;87006;87006;87006;87006;A056;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;007;087007;Belpasso;Belpasso;;5;Isole;Sicilia;Catania;3;0;CT;87007;87007;87007;87007;A766;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;008;087008;Biancavilla;Biancavilla;;5;Isole;Sicilia;Catania;3;0;CT;87008;87008;87008;87008;A841;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;009;087009;Bronte;Bronte;;5;Isole;Sicilia;Catania;3;0;CT;87009;87009;87009;87009;B202;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;010;087010;Calatabiano;Calatabiano;;5;Isole;Sicilia;Catania;3;0;CT;87010;87010;87010;87010;B384;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;011;087011;Caltagirone;Caltagirone;;5;Isole;Sicilia;Catania;3;0;CT;87011;87011;87011;87011;B428;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;012;087012;Camporotondo Etneo;Camporotondo Etneo;;5;Isole;Sicilia;Catania;3;0;CT;87012;87012;87012;87012;B561;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;013;087013;Castel di Iudica;Castel di Iudica;;5;Isole;Sicilia;Catania;3;0;CT;87013;87013;87013;87013;C091;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;014;087014;Castiglione di Sicilia;Castiglione di Sicilia;;5;Isole;Sicilia;Catania;3;0;CT;87014;87014;87014;87014;C297;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;015;087015;Catania;Catania;;5;Isole;Sicilia;Catania;3;1;CT;87015;87015;87015;87015;C351;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;016;087016;Fiumefreddo di Sicilia;Fiumefreddo di Sicilia;;5;Isole;Sicilia;Catania;3;0;CT;87016;87016;87016;87016;D623;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;017;087017;Giarre;Giarre;;5;Isole;Sicilia;Catania;3;0;CT;87017;87017;87017;87017;E017;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;018;087018;Grammichele;Grammichele;;5;Isole;Sicilia;Catania;3;0;CT;87018;87018;87018;87018;E133;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;019;087019;Gravina di Catania;Gravina di Catania;;5;Isole;Sicilia;Catania;3;0;CT;87019;87019;87019;87019;E156;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;020;087020;Licodia Eubea;Licodia Eubea;;5;Isole;Sicilia;Catania;3;0;CT;87020;87020;87020;87020;E578;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;021;087021;Linguaglossa;Linguaglossa;;5;Isole;Sicilia;Catania;3;0;CT;87021;87021;87021;87021;E602;ITG;ITG1;ITG17;ITG;ITG1;ITG17
19;287;087;022;087022;Maletto;Maletto;;5;Isole;Sicilia;Catania;3;0;CT;87022;87022;87022;87022;E854;ITG;ITG1;ITG17;ITG;ITG1;ITG17
