Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
17;076;076;008;076008;Balvano;Balvano;;4;Sud;Basilicata;Potenza;1;0;PZ;76008;76008;76008;76008;A604;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;009;076009;Banzi;Banzi;;4;Sud;Basilicata;Potenza;1;0;PZ;76009;76009;76009;76009;A612;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;010;076010;Baragiano;Baragiano;;4;Sud;Basilicata;Potenza;1;0;PZ;76010;76010;76010;76010;A615;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;011;076011;Barile;Barile;;4;Sud;Basilicata;Potenza;1;0;PZ;76011;76011;76011;76011;A666;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;012;076012;Bella;Bella;;4;Sud;Basilicata;Potenza;1;0;PZ;76012;76012;76012;76012;A743;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;013;076013;Brienza;Brienza;;4;Sud;Basilicata;Potenza;1;0;PZ;76013;76013;76013;76013;B173;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;014;076014;Brindisi Montagna;Brindisi Montagna;;4;Sud;Basilicata;Potenza;1;0;PZ;76014;76014;76014;76014;B181;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;015;076015;Calvello;Calvello;;4;Sud;Basilicata;Potenza;1;0;PZ;76015;76015;76015;76015;B440;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;016;076016;Calvera;Calvera;;4;Sud;Basilicata;Potenza;1;0;PZ;76016;76016;76016;76016;B443;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;017;076017;Campomaggiore;Campomaggiore;;4;Sud;Basilicata;Potenza;1;0;PZ;76017;76017;76017;76017;B549;ITF;ITF5;ITF51;ITF;ITF5;ITF51
17;076;076;018;076018;Cancellara;Cancellara;;4;Sud;Basilicata;Potenza;1;0;PZ;76018;76018;76018;76018;B580;ITF;ITF5;ITF51;ITF;ITF5;ITF51
