Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
08;036;036;022;036022;Mirandola;Mirandola;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36022;36022;36022;36022;F240;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;023;036023;Modena;Modena;;2;Nord-est;Emilia-Romagna;Modena;1;1;MO;36023;36023;36023;36023;F257;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;024;036024;Montecreto;Montecreto;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36024;36024;36024;36024;F484;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;025;036025;Montefiorino;Montefiorino;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36025;36025;36025;36025;F503;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;026;036026;Montese;Montese;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36026;36026;36026;36026;F642;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;027;036027;Nonantola;Nonantola;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36027;36027;36027;36027;F930;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;028;036028;Novi di Modena;Novi di Modena;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36028;36028;36028;36028;F966;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;029;036029;Palagano;Palagano;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36029;36029;36029;36029;G250;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;030;036030;Pavullo nel Frignano;Pavullo nel Frignano;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36030;36030;36030;36030;G393;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;031;036031;Pievepelago;Pievepelago;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36031;36031;36031;36031;G649;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;032;036032;Polinago;Polinago;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36032;36032;36032;36032;G789;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;033;036033;Prignano sulla Secchia;Prignano sulla Secchia;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36033;36033;36033;36033;H061;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;034;036034;Ravarino;Ravarino;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36034;36034;36034;36034;H195;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;035;036035;Riolunato;Riolunato;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36035;36035;36035;36035;H303;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;036;036036;San Cesario sul Panaro;San Cesario sul Panaro;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36036;36036;36036;36036;H794;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;037;036037;San Felice sul Panaro;San Felice sul Panaro;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36037;36037;36037;36037;H835;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;038;036038;San Possidonio;San Possidonio;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36038;36038;36038;36038;I128;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;039;036039;San Prospero;San Prospero;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36039;36039;36039;36039;I133;ITH;ITH5;ITH54;ITH;ITH5;ITH54
08;036;036;040;036040;Sassuolo;Sassuolo;;2;Nord-est;Emilia-Romagna;Modena;1;0;MO;36040;36040;36040;36040;I462;ITH;ITH5;ITH54;ITH;ITH5;ITH54
